% Model:              Tmax38_Nu_0.9.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 16 2017, 10:58
% Dimension:          2
% Nodes:              4413
% Expressions:        5
% Description:        Velocity field, r component, Velocity field, z component, Temperature, Dependent variable S, Vorticity field, phi component
% Length unit:        m
% r                       z                        u @ t=0.085              w @ t=0.085              T @ t=0.085              S @ t=0.085              spf.vorticityphi @ t=0.085
0.09999999999999995       0.8772727272727275       2.0080498529783353       -0.026273980154650958    -0.053735817573637205    0.6861835378123062       -51.28679845135418
0.07999999999999999       0.8772727272727281       1.61262328162118         -0.02405584212883579     -0.053294775183952314    0.6864617576555229       -40.743016977237275
0.05999999999999999       0.8772727272727278       1.2130499386530265       -0.022112089383929185    -0.05295427612745675     0.6866766069355452       -30.423280012497198
0.04                      0.877272727272728        0.8104260664311906       -0.02067139524768405     -0.05271245147947963     0.6868292492709958       -20.22807481176651
0.4600000000000001        0.906363636363638        -7.942081576333607       0.8709971945367457       -0.08607798551473139     0.6326573369200136       -576.727443700431
0.44000000000000006       0.9063636363636383       -6.654033038975814       0.6526356639040053       -0.08236192505137314     0.6351337612980591       -523.8932706100862
0.42000000000000004       0.9063636363636383       -5.544209722281059       0.4805858841154935       -0.07892706444155007     0.6374156881602304       -478.1723978069516
0.4000000000000001        0.9063636363636378       -4.588922505513312       0.3423806563715231       -0.07575918167924893     0.6395072655729662       -437.1446244748547
0.38                      0.9063636363636378       -3.7713111684221303      0.22925489660344647      -0.07284058823681769     0.6414236872384531       -400.46013659859545
0.36                      0.9063636363636378       -3.0754962060392033      0.13377959365481656      -0.07015294273344524     0.643180605807494        -367.6159002178869
0.33999999999999997       0.9063636363636377       -2.486960757579851       0.05068173155270001      -0.06767896443011791     0.6447920211684909       -337.9209351340495
0.31999999999999995       0.9063636363636377       -1.9924120360266062      -0.023308656482258463    -0.06540324479913251     0.6462699546955081       -310.71333957671294
0.29999999999999993       0.9063636363636378       -1.5794900296151995      -0.09005219321126968     -0.0633124711377881      0.6476245450306248       -285.44300927408096
0.2799999999999999        0.9063636363636375       -1.236762511353117       -0.1505175757393445      -0.06139533364394961     0.6488642433722922       -261.68338003508825
0.2599999999999999        0.9063636363636377       -0.9538951235278237      -0.20516294902121954     -0.05964229300692711     0.6499960483524327       -239.11886244585315
0.23999999999999988       0.9063636363636375       -0.7218495496832952      -0.2541781295390515      -0.05804530800114682     0.6510257636957166       -217.52939481941658
0.21999999999999992       0.9063636363636373       -0.5329650200554064      -0.29764085490030223     -0.056597573034988524    0.6519582455880981       -196.76716332635823
